DATE,CA,DISTRICT,SUBCOUNTY,PARISH,VILLAGE,WILDLIFE,NATURE OF CONFLICT,ACTION TAKEN
08/04/2022,QECA,Kasese,Kyondo,Kyondo,Buyagha,Baboon,Crop damages,Assessment carried out
13/08/2022,QECA,Kasese,Kisinga,Kisinga,Kyalanga,Baboon,Crop damages,Scare shooting
15/04/2022,QECA,Kasese,Karusandara,Kyondo,Kyalanga,Baboon,Crop damages,Assessment carried out
12/02/2022,QECA,Kasese,Kyondo,Nyamwamba,Kyondo,Baboon,Crop damages,Scare shootings
21/05/2021,,Kasese,Lake Katwe,Kikorongo,Kikorongo,Black cobra,Human injury,Captured
17/11/2021,QECA,Kasese,Muhokya,Kahendero,Kahendero,Buffalo,Human injury,Taken to hospital
March 2021,,Kasese,Katunguru,Katunguru,Kalemanjojo,Buffalo,Human injury,Taken to hospital
22/01/2022,QECA,Kasese,Kisinga,Nyabirongo,Kamuhogobe,Buffalo,Human injury,Taken to hospital
06/08/2022,QECA,Kasese,Kasese Municipality,Kyababinga,Kamuliwizi,Buffalo,Human threat,Scare shooting
05/10/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Kanyangeya,Buffalo,Crop damages,local methods used
April 2021,,Kasese,Lake Katwe,Kasenyi,Kasenyi,Buffalo,Human death,Assessment carried out
01/11/2021,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Buffalo,Masereka Eric was injured,Taken to hospital
18/11/2021,QECA,Kasese,Lake Katwe,Kasenyi,Kasenyi,Buffalo,Predation,Assessment carried out
25/01/2022,QECA,Kasese,Lake Katwe,Lake Katwe,Kasenyi,Buffalo,Human injury,Taken to hospital
February 2021,,Kasese,Central Division,Kanyangeya,Kidodo,Buffalo,Human injury,Assessment carried out
22/07/2022,QECA,Kasese,Kilembe,Kilembe,Kilembe,Buffalo,Human threat,Captured
08/06/2022,QECA,Kasese,Kilembe,Kilembe,Kyalanga,Buffalo,Crop damages,Scare shooting
01/04/2022,QECA,Kasese,Katunguru,Katunguru,Kyangabukama,Buffalo,Human injury,Assessment carried out
24/07/2022,QECA,Kasese,Katunguru,Katunguru,Kyangabukama,Buffalo,Human injury,Scare shooting
28/08/2022,QECA,Kasese,Nyamwamba,Scheme,Kyondo,Buffalo,Crop damages,camp fire
03/10/2022,QECA,Kasese,Nyamwamba,Scheme,Kyondo,Buffalo,Crop raiding,local methods used
05/09/2022,QECA,Kasese,Nyamwamba,Scheme,Kyondo,Buffalo,Crop damages,Local methods Used
28/01/2022,QECA,Kasese,Kyambogho,Kyambogho,Upper Village,Chimpanzee,Crop damages,Assessment carried out
April 2021,,Kasese,Lake Katwe,Hamukungu,Hamukungu,Crocodile,Predation,Assessment carried out
25/01/2022,QECA,Kasese,Lake Katwe,Hamukungu,Hamukungu,Crocodile,Human death,The body not found
07/05/2022,QECA,Kasese,Lake Katwe,Katwe-Kabatoro,Kakoni,Crocodile,Human injury,taken to hospital
25/02/2022,QECA,Kasese,Lake Katwe,Kyakitale,Kakoni,Crocodile,Human injury,Taken to Hospital
April 2021,,Kasese,Lake Katwe,Lake Katwe,Katwe-Kabatoro,Crocodile,Human death,Assessment carried out
25/01/2022,QECA,Kasese,Nyakiyumbu,Kayanja,Kayanja,Crocodile,Human death,Cuptured
03/12/2021,QECA,Kasese,Lake Katwe,Katunguru,Kibati,Crocodile,Human death of one Kirumira Moses,Assesment done
15/06/2021,QECA,Kasese,Katwe-Kabatoro,Top Hill,Kikorongo,Crocodile,human death,Assessment carried out
23/6/2022,QECA,Kasese,Lake Katwe,Kasenyi,Kitoro,Crocodile,Human injury,Taken to hospital
April 2021,,Kasese,Lake Katwe,Katwe-Kabatoro,Kyarukara,Crocodile,Human injury,Captured
13/01/2022,QECA,Kasese,Katwe-Kabatoro,Kyarukara,Kyarukara,Crocodile,Predation,Assessment carried out
7/7/2022,QECA,Kasese,Katwe-Kabatoro,Lake Katwe,Kyarukara,Crocodile,Property Damage,Assessment carried out
06/01/2022,QECA,Kasese,Katwe-Kabatoro,Lake Katwe,Kyarukara,Crocodile,Predation,Assessment carried out
04/10/2022,QECA,Kasese,Lake Katwe,Katwe-Kabatoro,Nyamugasani,Crocodile,human death,body missed
01/12/2021,QECA,Kasese,Central Division,Kanyangeya,Airstrip,Elephant,Crop damages,Scare Shooting
02/12/2021,QECA,Kasese,Central Division,Kanyangeya,Airstrip,Elephant,Crop damages,Scare Shooting
12/12/2021,QECA,Kasese,Central Division,Kanyangeya,Airstrip,Elephant,Crop damages,Scare Shooting
23/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scaring using local methods of drumming
24/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
26/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
28/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
29/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
17/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
22/06/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scaring using local methods of drumming
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
July 2021,,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
19/10/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,gate chain of kasese air strip and gate wall of Stardard High School damaged,Assessment carried out by
22/10/2021,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
16/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,Scare shooting
18/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,scare shooting
20/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,scare shooting
22/05/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,scare shooting
20/10/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,scare shooting
21/10/2022,QECA,Kasese,Kasese Municipality,Railway Ward,Airstrip,Elephant,Crop raiding,scare shooting
13/12/2021,QECA,Kasese,Central Division,Kanyangeya,Airstrip,Elephant,Crop damages,Scare Shooting
09/12/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Airstrip,Elephant,Crop damages,scare shooting
13/12/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Airstrip,Elephant,Crop damages,scare shooting
6/6/2022,QECA,Kasese,Nyamwamba,Airstrip,Airstrip,Elephant,Crop damages,Scare shooting
16/06/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Airstrip,Elephant,Crop damages,Scare shooting
14/07/2022,QECA,Kasese,Nyamwamba,Kanyangeya,Airstrip,Elephant,Crop damages,Scare shooting
4/7/2022,QECA,Kasese,Nyamwamba,Rukoki,Airstrip,Elephant,Crop damages,Scare shooting
5/7/2022,QECA,Kasese,Nyamwamba,Rukoki,Airstrip,Elephant,Crop damages,Scare shooting
18/11/2021,QECA,Kasese,Majengo,Majengo,Airstrip,Elephant,Crop damages,Scare shooting
24/11/2021,QECA,Kasese,Nyamwamba,Nyakasanga,Airstrip,Elephant,Crop damages,Scare shooting
11/08/2022,QECA,Kasese,Nyamwamba,Nyakasanga,Airstrip,Elephant,Crop damages,Scare shooting
January 2021,,Kasese,Nyakiyumbu,Rwehingo,Bugema,Elephant,Crop damages,Scare shooting
01/12/2021,QECA,Kasese,Nyakiyumbu,Rwehingo,Bugema,Elephant,Crop damages,Scare Shooting
03/12/2021,QECA,Kasese,Nyakiyumbu,Rwehingo,Bugema,Elephant,Crop damages,Scare Shooting
04/12/2021,QECA,Kasese,Nyakiyumbu,Rwehingo,Bugema,Elephant,Crop damages,Scaring byDruming
11/12/2021,QECA,Kasese,Nyakiyumbu,Rwehingo,Bugema,Elephant,Crop damages,Scare Shooting
14/06/2021,QECA,Kasese,Kahokya,Nyamwamba,Bujumbura,Elephant,Crop raiding,Assessment carried out
03/10/2021,QECA,Kasese,Nyakatonzi,Bukangara,Bukangara,Elephant,Crop raiding,Scare shooting
07/12/2022,QECA,Kasese,Kabirizi,Busunga,Busunga,Elephant,Crop damages,Local methods used
03/05/2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
13/05/2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
25/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,Local methods Used
April 2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
09/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,Local methods Used
10/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,Local methods Used
11/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,Local methods Used
12/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
14/09/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop damages,scare shooting
26/08/2021,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Human injury,taken to hospital
05/09/2021,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop raiding,scare shooting
13/09/2021,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop raiding,Scare shooting
14/09/2021,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop raiding,Scare shooting
20/10/2022,QECA,Kasese,Lake Katwe,Busunga,Busunga,Elephant,Crop raiding,scare shooting
14/08/2021,QECA,Kasese,Katwe-Kabatoro,Kabirizi,Busunga,Elephant,Crop raiding,scare shooting
April 2021,,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop damages,scare shooting
April 2021,,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop damages,scare shooting
01/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
07/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scaring using local methods of drumming
08/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scaring using local methods of drumming
10/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
11/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scaring using local methods of drumming
12/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
13/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,scare shooting
17/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,scare shooting
20/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
21/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scaring using local methods of drumming
22/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
24/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,scare shooting
25/08/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,scare shooting
03/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
07/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
12/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
20/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
22/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
30/09/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
01/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
03/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
05/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
14/10/2021,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop raiding,Scare shooting
01/11/2022,QECA,Kasese,Lake Katwe,Kabirizi,Busunga,Elephant,Crop damages,scare Shooting
